EmployeeID,Employee_Name,Gender,BusinessTravel,Department,DistanceFromHome KM,State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age,Age_Group,Full_State_Name,Salary,Salary_Bin,EducationLevel
0C54-705D,Grata Yannoni,Female,Some Travel,Sales,37,NY,White,2,Marketing,Manager,Married,0,FALSE,10/12/2021,FALSE,1,0,0,1,50,46-51,New York,291477,150k-300k,High School 
9112-D01B,Emmie Lauchlan,Female,Some Travel,Sales,23,CA,White,3,Marketing ,Manager,Married,1,TRUE,27/05/2020,FALSE,2,1,2,2,50,46-51,California,266449,150k-300k,Bachelors 
0BEE-FC20,Sherill Covotti,Female,Some Travel,Sales,43,IL,White,4,Marketing ,Manager,Single,0,FALSE,19/10/2021,FALSE,1,1,1,1,49,46-51,Illinois,413946,300k-500k,Masters 
4938-402A,Gherardo Stratiff,Male,No Travel ,Sales,6,CA,Black or African American,3,Economics,Manager,Divorced,1,FALSE,5/07/2018,FALSE,4,2,4,2,24,18-24,California,135407,Unknown,Bachelors 
F58A-302D,Travers Outhwaite,Male,Some Travel,Sales,17,IL,Black or African American,4,Economics,Manager,Divorced,1,FALSE,5/11/2016,FALSE,6,5,5,3,26,25-31,Illinois,290774,150k-300k,Masters 
8078-6154,Hattie Algeo,Female,Some Travel,Sales,29,NY,White,1,Marketing,Manager,Married,1,FALSE,9/04/2017,FALSE,5,4,4,3,26,25-31,New York,172070,150k-300k,No Formal Qualifications
B102-5713,Adlai Pettit,Non-Binary,Some Travel,Sales,31,CA,Mixed or multiple ethnic groups,5,Marketing ,Manager,Single,0,FALSE,19/08/2015,FALSE,7,5,5,3,27,25-31,California,205622,150k-300k,Doctorate
A11D-324A,Yorgo Ferrolli,Male,Some Travel,Sales,44,CA,Black or African American,4,Marketing,Manager,Married,1,FALSE,22/01/2016,FALSE,6,6,6,6,27,25-31,California,152147,150k-300k,Masters 
9E87-533E,Cindi Dudgeon,Female,Some Travel,Sales,16,CA,White,3,Marketing,Manager,Single,1,FALSE,25/04/2021,FALSE,1,1,1,0,27,25-31,California,225831,150k-300k,Bachelors 
AF11-04C3,Joni Byre,Female,Some Travel,Sales,19,CA,American Indian or Alaska Native,4,Marketing,Manager,Married,0,FALSE,30/08/2016,FALSE,6,0,1,1,27,25-31,California,149813,Unknown,Masters 
566A-FC64,Loria Pursey,Female,Some Travel,Sales,4,CA,Asian or Asian American,4,Marketing ,Manager,Divorced,3,FALSE,15/10/2016,FALSE,6,0,5,4,27,25-31,California,255718,150k-300k,Masters 
5021-95FC,Louie Trowsdall,Male,Some Travel,Sales,44,CA,White,3,Marketing,Manager,Single,0,TRUE,16/07/2013,TRUE,5,4,4,0,29,25-31,California,377203,300k-500k,Bachelors 
7BA2-EBDE,Borden McGuiness,Male,No Travel ,Sales,6,NY,White,4,Marketing ,Manager,Single,0,TRUE,16/03/2020,FALSE,2,2,2,0,31,25-31,New York,321244,300k-500k,Masters 
18CE-8F30,Wendy Bootman,Female,Some Travel,Sales,38,CA,Black or African American,5,Marketing,Manager,Married,1,FALSE,28/03/2019,FALSE,3,1,3,3,31,25-31,California,330940,300k-500k,Doctorate
BAA6-30C4,Tawnya Saywood,Female,Some Travel,Sales,43,CA,White,3,Marketing ,Manager,Single,1,FALSE,30/08/2021,FALSE,1,0,1,0,32,32-38,California,202322,150k-300k,Bachelors 
3DCC-7FA4,Sherrie Chantler,Female,Frequent Traveller,Sales,30,CA,Mixed or multiple ethnic groups,2,Marketing ,Manager,Married,2,TRUE,12/04/2019,FALSE,3,1,2,2,34,32-38,California,311448,300k-500k,High School 
EDC5-6FB7,Sibelle Hanse,Female,Some Travel,Sales,36,CA,Black or African American,4,Marketing,Manager,Single,0,FALSE,22/03/2019,FALSE,3,3,3,2,35,32-38,California,396470,300k-500k,Masters 
0602-02AB,Lynnet Foord,Female,Some Travel,Sales,36,CA,White,2,Marketing,Manager,Married,1,FALSE,12/01/2022,FALSE,0,0,0,0,35,32-38,California,487746,300k-500k,High School 
5B0B-B105,Richard Titchen,Male,Some Travel,Sales,30,CA,White,2,Marketing ,Manager,Married,1,FALSE,4/07/2020,FALSE,2,2,2,2,35,32-38,California,360384,300k-500k,High School 
2E9A-BD2E,Blake Metheringham,Male,Some Travel,Sales,13,CA,Asian or Asian American,5,Marketing ,Manager,Married,1,FALSE,27/09/2013,FALSE,9,1,8,0,36,32-38,California,432191,300k-500k,Doctorate
A7BB-F5A7,Anna-diana Horbart,Female,Some Travel,Sales,17,CA,White,4,Economics,Manager,Single,0,FALSE,8/12/2014,FALSE,8,3,4,8,37,32-38,California,476151,300k-500k,Masters 
8BAB-B4A6,Torey Abram,Male,Some Travel,Sales,35,NY,Asian or Asian American,3,Marketing ,Manager,Single,0,TRUE,13/01/2012,FALSE,10,7,9,3,38,32-38,New York,340229,300k-500k,Bachelors 
